Start Date,End Date,Campaign Name,Advert Name,Placement,Reach,Frequency,Impressions,Clicks,Unique Clicks,Click-through Rate (CTR),Unique Click-through Rate (uCTR),Amount Spent (EUR),Actions,People Taking Action,Page Likes,Impression Device,Destination
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,194,1.675258,325,2,2,0.615385,1.030928,0.02,2,2,0,Desktop,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,3,1,3,1,1,33.333333,33.333333,0.01,0,0,0,iPad,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Desktop Computers,39,1,39,0,0,0,0,0.16,0,0,0,Desktop,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,10,1,10,0,0,0,0,0.03,0,0,0,iPhone,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,1,2,2,0,0,0,0,0,0,0,0,iPod,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Desktop Computers,281,1.501779,422,0,0,0,0,0.01,0,0,0,Desktop,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Audience Network on Third-party Mobile Apps,198,1.388889,275,3,3,1.090909,1.515152,0.12,3,3,0,Other,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Audience Network on Third-party Mobile Apps,264,1.340909,354,0,0,0,0,0.14,0,0,0,Other,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,21,1,21,0,0,0,0,0.03,0,0,0,iPhone,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,247,1.846154,456,0,0,0,0,0.02,0,0,0,Desktop,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Desktop Computers,55,1,55,1,1,1.818182,1.818182,0.2,1,1,0,Desktop,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,12,1.083333,13,2,2,15.384615,16.666667,0.03,0,0,0,Android Smartphone,No Breakdown
